66.31.41.234 - - [05/Feb/2014:21:22:48 +0000] "GET /favicon.ico HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:50:56 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:50:56 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:50:57 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:50:59 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:54:30 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:56:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:56:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:56:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:56:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:57:00 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:58:20 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:22:05:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:22:05:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:22:05:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:22:05:40 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:22:12:21 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:22:13:01 +0000] "-" 400 0 "-" "-"
